"类型","题目","选项","答案"
"单选题","根据《银行业从业人员职业操守和行为准则》，以下说法错误的是（   ）。","a：银行业从业人员应当真诚对待客户，珍视声誉、信守承诺
b：银行从业人员应该自觉抵制违法违规违纪行为，坚持不碰政治底线、不越纪律红线
c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职
d：银行业从业人员应当借助科技赋能，竭诚为客户和社会提供规范、快捷、高效的金融服务。","c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职"
"单选题","员工异常行为监督管理工作组实行例会办法（事业部分部在当地分行参加例会），例会（   ）召开一次，特殊情况可随时召开。","a：每半年
b：每月
c：每季度
d：每两月","c：每季度"
"多选题","全行问责委员会按照机构层级分为：(   )。各级问责委员会依照本制度规定权限对所辖机构违规违纪员工进行问责。","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会
d：支行问责委员会","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会"
"单选题","我行客户身份识别工作包含哪些个方面，实施全生命周期管理？（   ）","a：首次识别、重新识别
b：初次识别、再次识别
c：初次识别、持续识别、重新识别
d：持续识别、重新识别、中止关系","c：初次识别、持续识别、重新识别"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下说法正确的是（   ）。","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈"
"单选题","对于属于（   ）的，总行各部门、事业部、分行、附属机构应立即向总行纪检监察室报送。","a：黄色预警
b：红色预警
c：橙色预警
d：蓝色预警","b：红色预警"
"单选题","根据《银行业从业人员职业操守和行为准则》，银行从业人员的以下做法正确的是（   ）。","a：参与非法吸收公众存款
b：非法向在校学生发放贷款
c：为特定客户优于同等条件办理高端信用卡
d：发现泄密事件，立即采取相关措施","d：发现泄密事件，立即采取相关措施"
"多选题","我行对于哪类名单客户必须要经过分行级高级管理层签字审批后，才可以开户或建立业务关系？（   ）","a：特殊名单
b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户
d：灰名单","b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户"
"单选题","法人金融机构应当以自评估报告和结论为基础，制定或持续调整、完善经（   ）批准的洗钱风险管理政策、控制措施和程序，并关注控制措施的执行情况。","a：董事会
b：监事会
c：高级管理层
d：反洗钱领导小组","c：高级管理层"
"多选题","《金融机构客户身份识别和客户身份资料及交易记录保存管理办法》规定：金融机构应当按照（   ）的原则，妥善保存客户身份资料和交易记录，确保能足以重现每项交易，以提供识别客户身份、监测分析交易情况、调查可疑交易活动和查处洗钱案件所需的信息。","a：安全
b：准确
c：完整
d：保密","a：安全
b：准确
c：完整
d：保密"
"判断题","发卡机构针对无卡自助消费业务不同交易模式设置单笔交易金额或单日累计交易金额控制指标的，需告知银联或委托银联代为控制。","a：正确
b：错误","a：正确"
"多选题","根据人民银行银发〔2016〕170号文规定，加强业务开通身份认证安全管理。自2016年11月1日起，各商业银行基于银行卡与支付机构、商业机构建立关联业务时，应严格采用多因素身份认证方式，直接鉴别客户身份，并取得客户授权。身份鉴别可采取的组合方式有：（   ）。","a：采用符合《金融电子认证规范》(JR/T 0118)的数字证书，并组合交易密码等至少一种认证因素。
b：采用符合《动态口令密码应用技术规范>(GM/T 0021)的动态令牌设备，并组合交易密码等至少一种认证因素。
c：至少组合两种动态认证因素（如动态验证码、基于客户行为的动态挑战应答等），并采用语音、短信、数据（如手机银行、即时通讯、邮件）等至少两种不同通信渠道。
d：四、仅验证密码。","a：采用符合《金融电子认证规范》(JR/T 0118)的数字证书，并组合交易密码等至少一种认证因素。
b：采用符合《动态口令密码应用技术规范>(GM/T 0021)的动态令牌设备，并组合交易密码等至少一种认证因素。
c：至少组合两种动态认证因素（如动态验证码、基于客户行为的动态挑战应答等），并采用语音、短信、数据（如手机银行、即时通讯、邮件）等至少两种不同通信渠道。"
"判断题","保险费用缴纳（投资型保险）可使用两两授权、三方授权方式签订服务协议。","a：正确
b：错误","b：错误"
"判断题","收单机构拓展特约商户，应当遵循“收益最大化”原则，确保所拓展特约商户是依法设立、从事合法经营活动的商户，并承担特约商户收单业务管理责任。","a：正确
b：错误","b：错误"
"多选题","对于仅具备条码读取或展示功能、不参与发起支付指令的条码支付扫码设备、显码设备和静态条码展示介质等条码支付辅助受理终端，收单机构应当建立特约商户编码与下述哪几个要素信息的关联对应关系？（   ）","a：收单机构代码
b：特约商户统一社会信用代码
c：特约商户收单结算账户
d：条码支付辅助受理终端布放地理位置","a：收单机构代码
b：特约商户统一社会信用代码
c：特约商户收单结算账户
d：条码支付辅助受理终端布放地理位置"
"多选题","中国支付清算协会关于印发《特约商户巡检指引》的通知中发现特约商户发生疑似洗钱、套现、欺诈、移机等风险事件的，应采取以下哪些措施？（   ）","a：延迟资金清算
b：暂停交易功能
c：收回支付受理终端
d：关闭网络支付接口","a：延迟资金清算
b：暂停交易功能
c：收回支付受理终端
d：关闭网络支付接口"
"判断题","收单机构应当按照有关规定向特约商户收取结算手续费，不得变相向持卡人转嫁结算手续费，不得采取不正当竞争手段损害他人合法权益。","a：正确
b：错误","a：正确"
"判断题","无卡自助消费业务是发卡机构向银联卡持卡人提供的一项基础支付服务，无需签约即可使用。","a：正确
b：错误","b：错误"
"判断题","银行卡收单业务管理办法所称银行卡收单业务，是指收单机构与特约商户签订银行卡受理协议，在特约商户按约定受理银行卡并与持卡人达成交易后，为特约商户提供交易资金结算服务的行为。","a：正确
b：错误","a：正确"
"多选题","个人网关支付业务中，发卡银行应当在网关支付页面向客户展示用于订单确认的信息主要包括：（   ）。","a：商户信息
b：订单信息
c：交易金额信息
d：以上都不对","a：商户信息
b：订单信息
c：交易金额信息"
